"county","state","GEOID","lon","lat","P_total","P_white","P_black","P_asian","P_native","P_hawaiian","P_others","P_below_middle_school","P_some_high_school","P_high_school_equivalent","P_some_college","P_bachelor_and_above","P_below_poverty","median_age","gini_index","median_household_income","median_rent_per_income","percent_no_internet"
"El Dorado County","CA","05000US06017",-120.5343981,38.785532,185625,162495,1795,8904,2379,462,3745,3030,5222,29859,49951,45596,15373,46.1,0.4609,75772,29.2,10.5882015132155
"Fresno County","CA","05000US06019",-119.6550193,36.7610058,979915,640619,47646,101993,10176,1183,143649,70135,64384,139362,187031,120826,247507,32.1,0.491,48715,36.5,17.4710437443934
"Humboldt County","CA","05000US06023",-123.9258181,40.7066731,136646,110795,1172,4212,7228,0,3154,991,6924,23705,32405,27020,26945,37.9,0.5038,43130,35.3,14.9253180896183
"Imperial County","CA","05000US06025",-115.3553946,33.0408155,180883,110971,4122,2731,1808,301,54515,13792,16748,26038,34525,15162,42303,32.5,0.4746,49095,31.8,22.5749637721547
"Kern County","CA","05000US06029",-118.7295064,35.3466288,884788,642077,47668,40615,11936,3142,106937,59354,68973,144166,162350,86885,193133,31.3,0.4644,49903,32.7,17.3314001013467
"Kings County","CA","05000US06031",-119.8155301,36.072478,149785,99706,10028,5238,2083,472,25665,8953,12668,28265,29719,10671,21565,31.8,0.4321,53234,28.4,17.2963564632165
"Lake County","CA","05000US06033",-122.7467569,39.0948019,64116,NA,NA,NA,NA,NA,NA,1948,4675,11805,20786,7617,12973,46.5,0.4763,42029,34.2,23.1041353230594
"Los Angeles County","CA","05000US06037",-118.2618616,34.1963983,10137915,5093898,826516,1474575,65370,26104,2258451,744735,604335,1433558,1787322,2167313,1628305,36.3,0.503,61338,34.5,14.2095100147054
"Madera County","CA","05000US06039",-119.7498519,37.2100387,154697,109705,4535,2748,3262,312,28121,13445,11722,24199,32648,11339,29736,33.6,0.4481,51657,33.7,20.2979557799364
"Marin County","CA","05000US06041",-122.7459738,38.0518169,260651,200426,6114,13886,274,397,25607,8411,3776,19769,44814,112386,19762,46.1,0.5245,103845,30.5,7.20848654697977
"Mendocino County","CA","05000US06045",-123.4428811,39.4323876,87628,71202,412,1125,3169,231,5887,3776,5269,15184,22807,13734,16881,42.8,0.5156,43809,37.4,16.2758542848275
"Merced County","CA","05000US06047",-120.7228019,37.1948063,268672,149377,8492,21156,2522,32,77857,26343,20093,38469,47303,21342,53314,30.9,0.4969,47739,29.7,15.3719454917453
"Monterey County","CA","05000US06053",-121.3155732,36.240107,435232,242774,11055,24852,1903,1086,135093,45225,24535,52379,72620,68343,52257,34,0.4514,63876,32,17.6284396373469
"Napa County","CA","05000US06055",-122.3259947,38.5073511,142166,110943,2718,11301,1160,269,10439,7457,5699,17316,32157,34822,10032,41,0.4641,75077,29.9,11.858114243054
"Nevada County","CA","05000US06057",-120.7734456,39.2951907,99107,91701,197,1742,490,0,1414,773,4665,12973,29321,27690,10505,50.2,0.4784,59022,34.3,11.3904102511109
"Orange County","CA","05000US06059",-117.7772068,33.6756872,3172532,1986194,53602,637622,13443,10791,352857,148793,145823,369136,600961,862800,346002,37.7,0.4695,81837,33.1,7.38177400510357
"Placer County","CA","05000US06061",-120.7227181,39.0620324,380531,309901,5796,26369,2292,392,15303,4001,7848,46015,103240,104141,28064,41.9,0.4571,85426,30,8.07884748102139
"Riverside County","CA","05000US06065",-116.0022389,33.7298275,2387741,1406044,152433,149105,20442,7583,544724,120739,145309,402375,506515,335035,360386,35.3,0.4559,60134,34.2,12.4197247706422
"Sacramento County","CA","05000US06067",-121.3404409,38.4500114,1514460,882763,148706,230645,10265,16214,117768,56814,66821,230687,345423,302855,245111,36,0.4649,59780,32.5,11.0450578407371
"San Bernardino County","CA","05000US06071",-116.1811967,34.8572198,2140096,1314742,182864,152270,15077,6381,364338,101683,157577,351679,433564,267503,368528,33.2,0.44,56337,34.3,12.1320713296366
"San Diego County","CA","05000US06073",-116.7761174,33.0236041,3317749,2385470,165878,389369,24980,14356,169165,126358,148766,411111,684874,835451,398475,35.7,0.4644,70824,33.7,9.5499780292607
"San Francisco County","CA","05000US06075",-123.0322294,37.7272391,870887,404410,43468,300409,3054,1967,70599,40123,32703,84652,126771,394813,86900,38,0.5029,103801,24.6,10.0344853541788
"San Joaquin County","CA","05000US06077",-121.2722369,37.9350336,733709,417952,52126,111547,5428,4697,74430,43819,51513,126697,151553,77034,103399,34.3,0.4466,59518,31.6,16.1906983704982
"San Luis Obispo County","CA","05000US06079",-120.4475404,35.3852268,282887,238692,5167,10989,2262,28,16126,5377,8615,35036,70091,68286,28364,38.8,0.4376,70564,29.2,10.8783580404846
"San Mateo County","CA","05000US06081",-122.3715417,37.4146639,764797,388724,17413,214801,3102,10756,85183,29943,24778,84004,128261,275493,49373,39.5,0.4821,108627,29.5,7.29108542580045
"Santa Barbara County","CA","05000US06083",-120.038485,34.5373784,446170,341741,8202,24802,4863,94,46374,32195,17569,47780,84230,89313,59709,33.8,0.4707,67436,34.5,10.9246116153852
"Santa Clara County","CA","05000US06085",-121.6906224,37.2207774,1919402,844820,47142,683532,8787,8602,227352,79892,68559,198127,280826,673605,177431,37,0.4645,111069,29.3,6.78274056257246
"Santa Cruz County","CA","05000US06087",-122.007205,37.0124883,274673,203973,2908,13692,1797,43,40674,13839,6871,28049,55684,72551,36169,37.4,0.4857,77613,35.3,9.52865765606657
"Shasta County","CA","05000US06089",-122.0435495,40.7605215,179631,158293,1791,6016,2942,77,1522,1943,7170,31960,56179,27576,30786,42.1,0.4655,46724,34.7,17.2244954573826
"Solano County","CA","05000US06095",-121.939594,38.2672255,440207,219084,64438,66560,1568,3713,46315,13663,20668,70351,117183,76316,49802,37.9,0.434,73900,30.7,8.36752205507736
"Sonoma County","CA","05000US06097",-122.9451943,38.532574,503070,371195,8632,21487,4397,1542,71200,19314,21317,66982,127657,122082,45561,42.1,0.4481,73929,32.9,9.90325539721819
"Stanislaus County","CA","05000US06099",-121.0026557,37.5623842,541560,395715,17096,30615,3427,3166,68689,35558,36338,94190,111719,55620,76191,34,0.4532,54305,34.4,15.1601390551883
"Sutter County","CA","05000US06101",-121.7027576,39.0352571,96651,69300,1672,14849,653,501,3331,6649,6252,13546,23334,9987,17985,35.9,0.4662,51397,31.3,16.537331890555
"Tulare County","CA","05000US06107",-118.7805422,36.2304529,460437,340284,6167,20506,6233,908,72610,37578,35771,69771,80388,36919,114290,30.8,0.4554,45881,32.1,18.4941908468979
"Ventura County","CA","05000US06111",-119.1331432,34.3587415,849738,681115,14929,60772,5746,1787,45523,48163,35936,105220,181595,190429,79392,37.7,0.4474,80135,34,12.1317015491009
"Yolo County","CA","05000US06113",-121.9031776,38.6792682,215802,151935,5476,30155,1835,836,11635,8756,9417,22892,33335,52163,41907,30.9,0.5057,64904,31.7,9.59414140031483
"Yuba County","CA","05000US06115",-121.3442802,39.2700256,75275,56042,2331,3656,1046,1376,3971,1692,4688,10799,20110,8735,10921,32.4,0.4444,49259,32.4,15.1728529158395
"Adams County","CO","05000US08001",-104.3318718,39.8743252,498187,402970,15865,19783,7677,425,32370,19922,29749,92677,97658,73008,57822,33.7,0.4006,66033,32.2,13.0871372347078
"Arapahoe County","CO","05000US08005",-104.3317329,39.6446318,637068,452406,69336,38563,3623,1618,47841,9568,19604,94113,125857,178155,56327,36.5,0.4538,70950,31,8.68603300811216
"Boulder County","CO","05000US08013",-105.3983824,40.0948262,322226,288623,3453,15560,927,209,5652,3054,6392,27928,44746,127679,34157,36.4,0.484,74615,34.7,6.3826522371184
"Broomfield County","CO","05000US08014",-105.052125,39.9533825,66529,57480,727,3943,316,0,1812,NA,NA,NA,NA,NA,5643,38.4,0.4614,84349,27.4,4.40823784689177
"Denver County","CO","05000US08031",-104.8806251,39.7618487,693060,522284,68262,25721,5462,410,47322,20305,34126,89883,106830,234447,93188,34.4,0.5008,61105,30.4,11.4197456875443
"Douglas County","CO","05000US08035",-104.9261993,39.3264348,328632,294600,4667,15524,1294,205,3739,1081,1920,24611,59646,128220,12037,38.9,0.4071,109292,29.1,2.66056191467222
"El Paso County","CO","05000US08041",-104.5274718,38.8273831,688284,552441,43539,18301,3588,3009,25506,5902,16118,87447,158713,170871,76464,33.9,0.4321,63882,29.9,6.93298848967799
"Jefferson County","CO","05000US08059",-105.2456005,39.5864595,571837,519734,7314,17174,3596,273,9742,4368,16307,81575,125690,178031,37593,40.2,0.4323,74186,32.1,6.58798562085842
"Larimer County","CO","05000US08069",-105.4821309,40.6630912,339993,307362,3351,7489,2714,516,6735,1364,5554,46045,63903,103892,37699,35.9,0.44,66469,34.2,7.87477075041664
"Mesa County","CO","05000US08077",-108.4618366,39.0194924,150083,140112,465,1263,1384,467,2111,2159,8867,30598,33431,25198,23494,39.8,0.4346,48846,33.6,10.4539110786203
"Pueblo County","CO","05000US08101",-104.4898925,38.1706581,165123,133330,4192,1310,8264,127,13092,1670,10044,31543,43130,23759,32757,39.1,0.4477,44677,32.8,18.726615816941
"Weld County","CO","05000US08123",-104.3836487,40.5557944,294932,271892,3435,4523,970,0,6937,6670,14259,54291,58987,51217,34393,34.3,0.4375,63400,31.5,11.4735470725949
"Fairfield County","CT","05000US09001",-73.3667574,41.2281028,944177,696692,110693,50381,2811,695,52428,23085,29891,141427,136932,297908,79372,40.4,0.5404,90123,32.7,10.1095079894309
"Hartford County","CT","05000US09003",-72.7329157,41.8060534,892389,636425,120762,45365,2763,82,57288,17405,37350,173731,149818,230416,94580,40.6,0.4695,69433,30,14.8854493405524
"Litchfield County","CT","05000US09005",-73.2354279,41.7918967,182571,NA,NA,NA,NA,NA,NA,1661,5935,39025,37076,49581,12350,46.8,0.4497,76993,29.7,9.9642399298293
"Middlesex County","CT","05000US09007",-72.5242267,41.4345251,163329,145795,8763,4893,5,0,791,1806,3504,32210,30049,49292,14077,45.6,0.4671,79739,28.6,12.8480955122572
"New Haven County","CT","05000US09009",-72.9002037,41.3497173,856875,635115,110901,35579,1827,423,45612,15228,36959,181219,142740,208217,92957,39.9,0.4617,66176,30.9,13.9327146171694
"New London County","CT","05000US09011",-72.1034515,41.4786303,269801,218961,15524,12084,1730,59,9528,1828,9560,57606,55381,60961,23140,41.5,0.4591,70699,27.9,11.6522218945326
"Tolland County","CT","05000US09013",-72.3409774,41.8580762,151118,NA,NA,NA,NA,NA,NA,535,3382,26120,25910,37892,9052,37.7,0.4237,81252,32.8,11.5761633498557
"Windham County","CT","05000US09015",-71.9907017,41.8249987,116192,103169,3606,1806,555,0,2263,1479,6841,27438,23532,19321,13600,40.8,0.4283,61608,27.9,15.8090043367461
"District of Columbia","DC","05000US11001",-77.0170942,38.9041485,681170,277268,320554,26436,2004,41,37132,12245,28646,85248,76292,272875,120308,33.9,0.542,75506,29.3,17.6496314548732
"Kent County","DE","05000US10001",-75.5029819,39.0970884,174827,115964,43984,3125,961,9,2543,2624,9704,41865,33408,26391,23384,37.5,0.4152,54140,30.6,13.3867063861478
"New Castle County","DE","05000US10003",-75.6441324,39.5759152,556987,361605,138491,29993,1877,981,10592,5568,22838,120004,93543,135437,60983,38.5,0.4599,67274,29.9,10.673170348706
"Sussex County","DE","05000US10005",-75.335495,38.6775108,220251,181522,27436,2528,1217,1063,2460,4109,15705,50605,47459,43241,23844,48.7,0.4418,57734,29.4,19.1657312524894
"Alachua County","FL","05000US12001",-82.357221,29.6757403,263496,182119,52833,16798,1166,524,2594,3444,8861,36949,44967,63363,58215,31.3,0.5081,45304,37.8,13.3392637776931
"Bay County","FL","05000US12005",-85.6313477,30.2375633,183974,151108,20489,5077,317,34,1066,1639,8458,42062,45237,29940,26569,40.1,0.4489,49157,31.8,13.0399545002133
"Brevard County","FL","05000US12009",-80.7003842,28.2982755,579130,478586,57238,14164,1254,170,10763,6810,23736,121316,147381,125850,86137,47.3,0.4645,51184,30.7,10.6277735254689
"Broward County","FL","05000US12011",-80.4766578,26.19352,1909632,1163610,545324,69401,5993,1726,63148,53722,91244,360675,408687,415410,254901,40.3,0.4902,54212,36.2,12.7726076123227
"Charlotte County","FL","05000US12015",-81.9408583,26.8688259,178465,160324,11548,1660,124,514,1328,3253,10503,47595,48932,34421,21977,58.5,0.4792,44200,33.3,12.3957044193381
"Citrus County","FL","05000US12017",-82.5247964,28.8436275,143621,NA,NA,NA,NA,NA,NA,1331,11217,42315,34882,23638,23564,56.4,0.4443,39206,33,16.3130494959186
"Clay County","FL","05000US12019",-81.8581472,29.9871155,208311,166888,21159,5746,51,397,4650,1814,6739,48783,49991,33323,20160,40.4,0.4168,56315,34.1,9.37542155672467
"Collier County","FL","05000US12021",-81.4008838,26.1187125,365136,321423,26142,4794,987,0,7911,17658,18496,71481,69551,93512,41160,50.3,0.5327,61228,32.5,12.1278364702341
"Columbia County","FL","05000US12023",-82.6231271,30.2213046,69299,NA,NA,NA,NA,NA,NA,863,5202,17142,15753,6442,9440,41.2,0.4855,42019,27.9,15.3417303324386
"Duval County","FL","05000US12031",-81.6481132,30.3352449,926255,560080,271278,39936,2013,453,16293,10395,50513,171527,203635,185836,130321,36.1,0.4541,51980,28.8,14.5157735925819
"Escambia County","FL","05000US12033",-87.33904,30.6116644,315187,216766,70316,9687,1608,96,3712,2627,14573,56229,78400,56508,41672,37.3,0.4301,44788,31.1,13.01494498829
"Flagler County","FL","05000US12035",-81.2863619,29.4748942,108310,NA,NA,NA,NA,NA,NA,1624,5592,26324,29474,18914,12404,51.1,0.4246,49395,32.4,14.7345743264506
"Hernando County","FL","05000US12053",-82.4648352,28.5679113,182835,162269,9823,2262,210,0,2822,3249,12006,48935,44967,25711,28156,49,0.4256,47253,34.7,15.050766206135
"Highlands County","FL","05000US12055",-81.3409213,27.3426272,100917,NA,NA,NA,NA,NA,NA,3128,5618,33915,22021,10022,18397,54.4,0.4504,36490,34.5,26.1440940012369
"Hillsborough County","FL","05000US12057",-82.3495681,27.9065898,1376238,971753,228361,54822,4763,1279,68366,32937,66969,260737,260006,301728,204523,37,0.4789,54588,30.5,11.0927972912824
"Indian River County","FL","05000US12061",-80.5748033,27.7006382,151563,129043,11560,1978,459,0,3617,4170,8384,32502,33662,32393,17918,53,0.5373,49072,32.5,14.8862467750374
"Lake County","FL","05000US12069",-81.7122822,28.7641128,335396,283513,35729,6718,1217,27,1418,4904,17742,83061,80571,56517,38311,46.7,0.4094,50226,30.4,12.7731053317609
"Lee County","FL","05000US12071",-81.8922499,26.5521343,722336,615028,60475,11131,1457,129,20665,19783,40922,164285,155114,152967,91858,48.2,0.4717,52909,32,13.6726077903223
"Leon County","FL","05000US12073",-84.2778004,30.4593104,287822,177676,88212,10203,521,256,2971,1960,7531,31491,47093,81023,53318,30.8,0.4771,51107,33.1,7.59728502751541
"Manatee County","FL","05000US12081",-82.3657835,27.481386,375888,320089,33480,7143,1015,206,7070,7561,21458,87221,82575,76974,47005,47.7,0.4784,51748,34,13.9767662232829
"Marion County","FL","05000US12083",-82.0431004,29.2028047,349020,286955,44143,4308,194,122,1951,5874,24091,99529,78526,46823,59380,48.6,0.4428,39383,30.9,19.5286019711112
"Martin County","FL","05000US12085",-80.3982112,27.0799538,158701,139122,9164,1252,965,179,5813,3725,6810,30871,41857,36545,17211,51.5,0.5205,54620,34.7,15.2375508130081
"Miami-Dade County","FL","05000US12086",-80.4990449,25.6104937,2712945,2019915,476506,43745,4683,1265,124482,150429,165925,542835,483546,537034,488306,39.9,0.5282,45935,38.7,20.9215614590027
"Monroe County","FL","05000US12087",-81.2067767,25.6010428,79077,NA,NA,NA,NA,NA,NA,1296,3756,16448,17524,20034,7548,46.3,0.461,65717,35.8,12.76139587044
"Nassau County","FL","05000US12089",-81.7649287,30.6059257,80622,NA,NA,NA,NA,NA,NA,585,3295,17730,19147,18017,8423,45.2,0.441,71515,30.1,10.5214914721577
"Okaloosa County","FL","05000US12091",-86.5941941,30.6658583,201170,155446,20398,5770,590,327,8785,2106,7904,35310,48611,41852,19590,37.2,0.4322,60026,29.4,10.4031431499829
"Orange County","FL","05000US12095",-81.323295,28.514435,1314367,851713,276302,70844,1697,50,67741,34791,68209,212756,252104,294893,212247,34.9,0.48,51335,33.3,12.0423038750093
"Osceola County","FL","05000US12097",-81.1393116,28.0590267,336015,248442,40387,9588,739,142,23289,7840,17307,71686,76165,44184,49508,35.6,0.4042,51436,33.5,12.7714745462186
"Palm Beach County","FL","05000US12099",-80.4486728,26.6457628,1443810,1079513,266755,38391,1811,536,26821,50604,69011,259717,292543,368824,178288,44.7,0.5179,57580,35.1,12.3570685586247
"Pasco County","FL","05000US12101",-82.4557068,28.3020241,512368,452055,28037,12829,1337,190,6111,9214,28228,127733,116871,85638,66699,44.8,0.4581,46264,32.3,16.5472222790194
"Pinellas County","FL","05000US12103",-82.739518,27.903122,960730,784811,97341,33027,3117,820,15140,14846,46810,206961,243061,215630,125474,48,0.4835,50036,31.1,14.7615329463646
"Polk County","FL","05000US12105",-81.6927831,27.9531147,666149,525140,100793,12565,1818,306,9710,21477,41221,165401,130424,92755,106975,40.2,0.4455,46355,28.8,19.3221716299591
"Putnam County","FL","05000US12107",-81.7408939,29.6060059,72277,NA,NA,NA,NA,NA,NA,1448,7287,19347,13284,7920,14099,45.3,0.4254,38239,30.7,27.2720785013381
"St. Johns County","FL","05000US12109",-81.3839139,29.8905926,235087,208208,12331,6363,854,695,1850,1898,4771,35736,52134,71152,17568,43,0.4658,78581,30,7.82899972679867
"St. Lucie County","FL","05000US12111",-80.4433638,27.3807748,306507,227646,59949,6005,1345,0,5409,8132,18212,73041,70865,45146,54771,45.2,0.4439,44804,37.3,14.6742879668868
"Santa Rosa County","FL","05000US12113",-87.0142549,30.7036328,170497,146607,10669,3459,1460,506,772,1564,9139,31497,43250,32987,16505,40.3,0.4223,63619,28.4,6.95763301357232
"Sarasota County","FL","05000US12115",-82.3658351,27.1843855,412569,375600,17710,6544,1005,22,4215,6026,14867,99454,95597,110253,43026,55.5,0.4744,54989,30.8,12.4370711330318
"Seminole County","FL","05000US12117",-81.1319797,28.6900793,455479,354325,51494,19098,449,343,13835,3839,12523,68705,114724,118505,52799,39.2,0.4558,61311,29.9,8.48229473169043
"Sumter County","FL","05000US12119",-82.0747152,28.7142938,123996,NA,NA,NA,NA,NA,NA,1748,5611,35180,32938,31566,11366,67.3,0.4363,54562,34.8,10.8321585137406
"Volusia County","FL","05000US12127",-81.1618129,29.0576172,529364,441448,55747,9730,2528,64,7275,7300,29632,122815,134522,94387,72083,46.8,0.4612,45366,33.3,18.8334836174716
"Walton County","FL","05000US12131",-86.1766139,30.6312106,65889,NA,NA,NA,NA,NA,NA,595,4672,12158,15793,13465,7529,44.9,0.4775,56246,31.6,16.8339030396589
"Barrow County","GA","05000US13013",-83.7123025,33.9920094,77126,NA,NA,NA,NA,NA,NA,1788,5481,17219,15746,9276,10941,35.5,0.388,54256,25.6,12.020912929821
"Bartow County","GA","05000US13015",-84.8381879,34.2409175,103807,NA,NA,NA,NA,NA,NA,2782,8067,23540,20766,13554,17105,37.2,0.4262,51405,24.8,12.4979412572056
"Bibb County","GA","05000US13021",-83.6941934,32.8088443,152760,61273,82574,3089,98,0,1592,2127,10315,29533,28267,25607,38556,36.1,0.5164,36724,34.6,23.5509256049366
"Bulloch County","GA","05000US13031",-81.7438099,32.3934083,74722,NA,NA,NA,NA,NA,NA,855,4572,10331,13569,11173,16546,28.4,0.4579,43982,31.7,18.4241414562114
"Carroll County","GA","05000US13045",-85.0805272,33.5822366,116261,NA,NA,NA,NA,NA,NA,2089,8412,22986,21550,15453,14584,34.1,0.4031,51228,23.9,13.9204264981736
"Catoosa County","GA","05000US13047",-85.1373531,34.8993926,66398,NA,NA,NA,NA,NA,NA,149,4613,15335,14712,10773,6033,40,0.4271,55717,29.3,13.1996928424201
"Chatham County","GA","05000US13051",-81.0917682,31.9747555,289082,151815,114139,6369,650,558,4208,2330,15502,45036,65263,61637,43398,35.3,0.4887,53964,27.4,11.4752461768843
"Cherokee County","GA","05000US13057",-84.4750574,34.2443166,241689,NA,NA,NA,NA,NA,NA,4311,9479,35214,50180,61072,17610,38.7,0.4147,77950,26,6.15902387974503
"Clarke County","GA","05000US13059",-83.3671299,33.9522337,124707,78919,34893,5209,181,33,3137,1732,5335,14696,17598,28091,31693,27.5,0.5139,34999,34,15.4216512835608
"Clayton County","GA","05000US13063",-84.4129771,33.5522424,279462,NA,NA,NA,NA,NA,NA,8668,13942,55868,55567,35429,56658,32.7,0.4057,45252,29.4,15.2587285099527
"Cobb County","GA","05000US13067",-84.5741657,33.93994,748150,439448,202244,39953,3133,676,36792,16578,20973,90843,130974,232294,70868,36.5,0.4483,70947,27.7,7.92951224864993
"Columbia County","GA","05000US13073",-82.2513423,33.5505555,147450,108438,24938,6402,932,0,1413,1593,3186,26000,30392,34644,10627,36.2,0.4068,72737,26.3,16.9658830214889
"Coweta County","GA","05000US13077",-84.7621381,33.3528965,140526,NA,NA,NA,NA,NA,NA,831,7943,28082,27749,27011,13165,39,0.4465,71220,26.8,8.78165653525533
"DeKalb County","GA","05000US13089",-84.2263431,33.7706611,740321,259015,403352,45634,5253,101,9586,18932,30805,104011,124396,216819,125609,35.4,0.4946,56109,31.5,13.1154125023102
"Dougherty County","GA","05000US13095",-84.2144444,31.5350683,90017,NA,NA,NA,NA,NA,NA,1745,5711,16770,19574,12183,25847,35.2,0.5123,37222,32.3,23.8530235816017
"Douglas County","GA","05000US13097",-84.7659441,33.6993166,142224,67268,67469,2242,73,0,2812,1699,7216,28924,27918,24761,17528,36,0.4369,62445,26.4,10.6664485388847
"Fayette County","GA","05000US13113",-84.4939407,33.4127172,111627,NA,NA,NA,NA,NA,NA,1057,1849,15439,20196,37209,6161,43.3,0.4401,80626,27.4,7.88093692253908
"Floyd County","GA","05000US13115",-85.2137297,34.2636769,96560,NA,NA,NA,NA,NA,NA,2507,7003,19853,17558,15426,11739,38.7,0.4659,49865,25.7,18.1581994295558
"Forsyth County","GA","05000US13117",-84.1273355,34.225143,221009,179397,7490,25847,387,0,3346,3868,6205,23691,35513,71739,13001,38.7,0.3969,100909,24.9,7.03384666518945
"Fulton County","GA","05000US13121",-84.4681816,33.7900338,1023336,455532,447187,68259,9001,879,11948,11047,38213,125877,154622,352495,155061,35.4,0.5369,63510,29.8,10.4587767300042
"Glynn County","GA","05000US13127",-81.4965167,31.2127465,84502,NA,NA,NA,NA,NA,NA,1437,5374,15176,18179,16060,17140,41,0.4926,48926,29,18.6132191327896
"Gwinnett County","GA","05000US13135",-84.0229381,33.9591011,907135,438099,248723,103900,1346,82,88207,29301,32804,132550,172483,199463,102496,35.2,0.4307,67155,31.1,9.4502505122157
"Hall County","GA","05000US13139",-83.8184973,34.3175876,196637,168678,14687,3451,412,99,4766,11579,15316,37581,33288,27404,25795,36.5,0.4268,54917,27.3,13.43853767046
"Henry County","GA","05000US13151",-84.1544404,33.4528811,221768,110602,94657,7935,0,0,2709,2443,11818,39676,46471,41615,21047,36.5,0.4165,66905,25.6,7.38656962926161
"Houston County","GA","05000US13153",-83.6628559,32.4583811,152122,93711,45011,4623,622,0,1763,2178,7150,22647,37813,30115,24445,35.4,0.4108,62493,27.4,14.4934795441942
"Liberty County","GA","05000US13179",-81.4579687,31.8072445,62570,29415,25722,940,295,12,1916,706,2326,10858,14763,6309,7862,27.2,0.3974,45138,29.9,14.2166260020913
"Lowndes County","GA","05000US13185",-83.2689668,30.8336801,114628,67078,44310,418,256,113,878,1350,6378,23796,18742,16336,24127,30.5,0.51,41449,31,19.3804334516959
"Muscogee County","GA","05000US13215",-84.874946,32.510197,197485,86603,90127,4160,1159,0,4517,2688,11025,33963,43371,35079,41236,33.7,0.5,40060,31.6,19.1291015865628
"Newton County","GA","05000US13217",-83.8551891,33.5440455,106999,NA,NA,NA,NA,NA,NA,2497,8403,20870,22271,11465,23299,36,0.46,48628,32,14.6294487090021
"Paulding County","GA","05000US13223",-84.8669788,33.9209028,155825,NA,NA,NA,NA,NA,NA,2348,6222,33021,32812,23359,13462,36.4,0.3834,60856,28.9,7.03487389434543
"Richmond County","GA","05000US13245",-82.0749983,33.361487,201647,76547,114495,4084,584,848,2376,3311,14721,40910,40681,29069,48523,34,0.4641,41419,30.1,19.0794240472144
"Rockdale County","GA","05000US13247",-84.0263696,33.6520811,89355,NA,NA,NA,NA,NA,NA,1805,3902,21218,16366,14381,12616,38.4,0.4123,56820,24.7,18.1626674566341
"Troup County","GA","05000US13285",-85.02836,33.034482,70005,NA,NA,NA,NA,NA,NA,1914,7008,14267,11844,9518,14790,36.4,0.4594,42371,31.6,25.7951251377945
"Walker County","GA","05000US13295",-85.3053852,34.7358269,67896,NA,NA,NA,NA,NA,NA,1562,7979,15723,13766,7932,13758,41.4,0.4816,39209,33.7,19.9322978892871
"Walton County","GA","05000US13297",-83.7342152,33.7826485,90184,NA,NA,NA,NA,NA,NA,1193,5914,19910,16763,13280,12057,38.3,0.4335,53202,36.3,16.0800911606707
"Whitfield County","GA","05000US13313",-84.968541,34.8017261,104589,NA,NA,NA,NA,NA,NA,6993,11171,18114,18613,8233,18184,35.1,0.4695,46399,24.3,18.9776340007809
"Hawaii County","HI","05000US15001",-155.5024434,19.5977643,198449,64714,1586,47415,293,26900,2422,2514,6295,46005,45084,38574,30154,42.6,0.4674,55750,29.6,17.9323383654645
"Honolulu County","HI","05000US15003",-158.2019756,21.4613641,992605,209223,23269,421281,1636,93165,8029,21351,31333,176857,214356,235112,81533,37.5,0.43,80513,34.7,11.4034718875437
"Kauai County","HI","05000US15007",-159.7059653,22.0120383,72029,23326,621,24200,563,5678,183,1223,1665,16790,16082,14086,4333,42.3,0.4198,71344,31,13.9786335831826
"Maui County","HI","05000US15009",-156.6015503,20.8559306,165379,60712,422,50531,157,18797,1687,2121,4282,38072,41393,28799,13544,41.1,0.4613,72257,28.8,10.5032455420428
"Black Hawk County","IA","05000US19013",-92.306059,42.4728884,132904,113334,12012,3374,802,719,854,1499,4261,26567,26296,23543,21740,35.2,0.4828,50470,28.9,16.7000133386688
"Dallas County","IA","05000US19049",-94.0407065,41.6853206,84516,76654,1003,3579,102,0,637,1486,923,9098,15841,27207,3755,35.2,0.4528,75899,31.3,8.87582881253767
"Dubuque County","IA","05000US19061",-90.8787708,42.4634808,97003,NA,NA,NA,NA,NA,NA,410,3248,21481,19938,18922,9908,38,0.4751,60456,24.8,13.0416335189605
"Johnson County","IA","05000US19103",-91.5888122,41.6687365,146547,119612,10314,10102,0,0,3928,1394,2670,13640,20927,46917,25733,30,0.4813,58064,38.3,8.24230560847301
"Linn County","IA","05000US19113",-91.5976735,42.0779506,221661,198263,12247,5323,239,132,529,1417,5968,39482,48421,52954,22115,37.6,0.433,64639,25.8,13.0543998744014
"Polk County","IA","05000US19153",-93.5697204,41.6842807,474045,396575,31968,22224,1315,150,8740,9183,15514,74309,98010,112049,50855,35.3,0.4372,64067,28,11.1369201860445
"Pottawattamie County","IA","05000US19155",-95.5449053,41.3401835,93582,NA,NA,NA,NA,NA,NA,298,4339,21030,22793,13517,7916,39.1,0.4568,55972,27.7,16.1716628802571
"Scott County","IA","05000US19163",-90.6222899,41.6416793,172474,147577,14802,4441,554,0,2285,1089,5316,36898,35324,36493,22805,37.9,0.4585,54730,32.9,20.2203616576728
"Story County","IA","05000US19169",-93.4660934,42.0375379,97090,84190,1423,8417,178,0,340,119,1052,9545,12491,28328,18802,26.9,0.4647,53371,38.9,7.19946452476573
"Woodbury County","IA","05000US19193",-96.0532956,42.3932198,102779,87253,3720,3154,723,749,3083,2480,5867,19764,20874,14802,12551,35.1,0.4411,52324,27.7,17.1907756813417
"Ada County","ID","05000US16001",-116.244456,43.4478606,444028,402851,6535,11778,2026,377,6847,2911,10492,66998,102929,113442,47122,36.6,0.4696,61301,28,21.7534994551746
